contradiction,t,h
YES,The Hong Kong government said the case was its first successful action against peer-to-peer file sharing. The maximum penalty is four years' jail and a hefty fine.,The government does not act against peer-to-peer file sharing.
YES,"Charles Armitage, broker to the defence and aerospace equipment maker at Merrill Lynch, says it is the type of business where ""you shut your eyes and expect about 10 per cent growth.""",Charles Armitage does not work as a broker at Merrill Lynch.
YES,"Keevil, a graduate of Oxford and Harvard universities, began his career in New York at Morgan Stanley, the second-biggest U.S. securities firm by market value. He is a dual citizen of the U.K. and U.S.",Keevil does not have British nationality.
YES,"A roadside bomb that injured six U.S. soldiers in eastern Afghanistan, was followed by a blast near a Kabul police station, Monday, that hurt two police officers and a civilian.",No police station is based in Kabul.
YES,"Some 420 people have been hanged in Singapore since 1991, mostly for drug trafficking, an Amnesty International 2004 report said. That gives the country of 4.4 million people the highest execution rate in the world relative to population.",No 4.4 million people live in Singapore.
YES,"Kotler, 37, is familiar with the problem. Immigrating from the Ukraine in 1991 he became the first Reform rabbi from that wave of immigration and for the last four years he served as the Reform Movement's envoy in Russia.",Kotler is not a member of the Reform Movement.
YES,"GUS, on Friday, disposed of its remaining home shopping business and last non-UK retail operation with the 390m euro (265m pounds) sale of the Dutch home shopping company, Wehkamp, to Industri Kapital, a private equity firm.",Industri Kapital did not acquire Wehkamp.
YES,"Recent Dakosaurus research comes from a complete skull found in Argentina in 1996, studied by Diego Pol of Ohio State University, Zulma Gasparini of Argentina's National University of La Plata, and their colleagues.",A Dakosaurus complete skull was not found in Argentina.
YES,"They also openly list the address of LeT`s regional office as ""4 Lake Road, Chaubhurji, Lahore,"" a location reportedly not far from the city police headquarters.",Chaubhurji does not lie in Lahore.
YES,"Running water to about 26,000 people in Dalianhe on the outskirts of this northeastern city, stopped at 6 p.m. as a slick of toxic benzene on the Songhua River approached.",The Songhua River was not polluted with benzene.
YES,Google co-founders Sergey Brin and Larry Page apparently have settled on a Boeing 767 as their personal jet.,Google was not founded by Sergey Brin and Larry Page.
YES,"A few years earlier Ronnie Gilbert, one of The Weavers, had introduced me at one of the Newport Folk Festivals saying, ""And here he is ... take him, you know him, he's yours.""",Ronnie Gilbert does not form part of The Weavers.
YES,"Since it saw the light of day in 2004, Katamari Damacy has gone on to become one of the biggest cult hits in the history of video games.",Katamari Damacy was not released in 2004.
YES,An internal investigation led Chief Dana Van Leuven to contact deputies at the San Bernardino Sheriff's Department's Big Bear Station.,Big Bear Station is not subordinate to San Bernardino Sherriff's Department.
YES,"Testifying before the Senate inquiry into the new anti-terrorism laws, Australian Federal Police Deputy Commissioner John Lawler defended the need for extra powers by giving examples of where the current system falls down.",John Lawler did not testify before the Senate inquiry.
YES,"Four US cable companies, including industry leaders Comcast Corp and Time Warner Cable, have entered the fast-growing wireless arena through a joint venture with Sprint Nextel.",Four US cable companies have never formed a joint venture with Sprint Nextel.
YES,Greek coastguard officials say they have found a body on a boat that sent out a distress call as it carried 150 would-be immigrants to Italy. The identity of the dead man and the circumstances of his death are unclear.,Coastguard officials have never found a dead man.
YES,"Some large Russian oil companies, including Lukoil, Zarubezhneft, the state-owned oil company, and Alpha Eco, the trader, were implicated by the report.",Lukoil and Zarubezhneft are not Russian oil companies.
YES,La Paz department police authorities have disclosed that investigations into the murder of two young U.S. Citizens are being conducted by a specialized group (not further identified) summoned specially to clarify this crime.,No two young U.S. Citizens were murdered in Bolivia.
YES,"Marshall, 54, and Warren, 68, discovered the bacterium Helicobacter pylori and uncovered its role in causing ulcers and stomach inflammation.",Helicobacter pylori does not cause ulcers.
YES,"As he headed to his Camp David retreat for the weekend, relief for Mr. Bush that Karl Rove, his chief strategist, had not been indicted was tempered by the prospect of further torment from the continuing inquiry and likely trial of Lewis ""Scooter"" Libby, chief of staff to Dick Cheney, vice-president.",Karl Rove does not work as chief strategist for Mr. Bush.
YES,"""I've seen the evolution from hoodlums to families,"" said LeGros, 72, who has owned the drive-in with his wife, Dorothy, for 25 years.",LeGros is not related to Dorothy.
YES,"The mounting debt exasperated U.N. Secretary-General Javier Perez de Cuellar as the world body embarked on new, costly peacekeeping ventures.",Javier Perez de Cuellar is not employed by the U.N.
YES,"The sources, speaking days before Scheuer's interview appeared July 4 in the Italian daily La Repubblica, said those actions were routine in such cases, known as ""renditions"" -- transfers of subjects from one country to another.",La Repubblica does not publish in Italy.
YES,"Apple, the Apple logo, Mac, Mac OS, Macintosh, Power Mac, iTunes and iPod are trademarks of Apple.",ITunes is not a product by Apple.
YES,"The government of El Salvador strongly condemns the terrorist attacks carried out with explosives, today, against the Salvadoran Workers National Union Federation, in which several persons were wounded and others died.",No persons were injured by explosives.
YES,"""The Calm & the Storm"" is the brainchild of Dave McCool, who got rich when Northern Telecom bought his communications start-up Aptis Communications.",Aptis Communications is not owned by Northern Telecom.
YES,The US state of Kansas has ruled that science classes in public schools should include the teaching of intelligent design and the doubts it casts on Darwinian evolution.,Intelligent design does not cast doubts on Darwinian evolution.
YES,"For the second time, unidentified terrorists dynamited the oil pipeline between Huila department and Barrancabermeja.",Terrorists did not attack an oil pipeline.
YES,"The chaotic situation unleashed in Bogota last night with the assassination of justice Carlos Valencia began on July 28th in Medellin, when motorized paid assassins murdered third public order judge Maria Elena Diaz.",Assassins did not murder Maria Elena Diaz.
YES,"General Miguel Maza Marquez, chief of the Colombian administrative department of security (DAS), today confirmed foreign participation in the assassination of Luis Carlos Galan, senator and liberal party presidential candidate, on the 18th of August in Bogota.",Luis Carlos Galan was not murdered in Bogota.
